Time                            Romoved weeds    Battery    Encountered weeds
2021.06.13 07:07:03                            1    95%    1
2021.06.13 07:07:05                            2    95%    2
2021.06.13 07:07:13                            3    90%    4
2021.06.13 07:07:16                            4    85%    5
2021.06.13 07:07:26                            5    85%    7
2021.06.13 07:07:32                            6    80%    9
2021.06.13 07:07:34                            7    75%    10
2021.06.13 07:07:40                            8    75%    11
