Time    Battery
2021.06.13 07:07:03     95%
2021.06.13 07:07:04     100%
2021.06.13 07:07:05     95%
2021.06.13 07:07:13     90%
2021.06.13 07:07:16     85%
2021.06.13 07:07:20     90%
2021.06.13 07:07:26     85%
2021.06.13 07:07:32     80%
2021.06.13 07:07:34     75%
2021.06.13 07:07:35     80%
2021.06.13 07:07:40     75%
2021.06.13 07:07:50     80%
2021.06.13 07:08:05     85%
